역사_ID,역사명,호선,위도,경도,station_x_5179,station_y_5179,matched_CELL_ID,matched_CELL_X,matched_CELL_Y,distance_m
1408,신창(순천향대),장항선,36.769502,126.951108,951014.5110456933,1863628.4124885483,다바47507825,947625,1878375,15131.114577643631
1407,온양온천,장항선,36.780483,127.003249,955674.1566313265,1864821.1194020235,다바47507825,947625,1878375,15763.774983798512
1405,배방,장항선,36.777629,127.052991,960111.258826329,1864482.6367947417,다바58508125,958625,1881375,16957.620704485766
1404,탕정,장항선,36.78866,127.08485,962959.5130133566,1865693.4994534717,다바58508125,958625,1881375,16269.525575557629
1403,아산,장항선,36.792053,127.104361,964701.88686139,1866062.5088196832,다바60008175,960125,1881875,16461.55432119215
1402,쌍용(나사렛대),장항선,36.793759,127.1214,966222.8274813526,1866245.6038745712,다바62008225,962125,1882375,16641.80307051876
1401,봉명,장항선,36.801215,127.135763,967507.3912150279,1867067.7234267013,다바74008125,974125,1881375,15763.594418019093
1329,춘천,경춘선,37.885054,127.717023,1019083.7532877884,1987268.82171454,라사10258950,1010375,1989625,9021.860115321995
1328,남춘천,경춘선,37.864007,127.723792,1019684.5806022874,1984935.0649108747,라사09508675,1009625,1986875,10244.926063370938
1327,김유정,경춘선,37.818466,127.71434,1018864.7845751152,1979880.3730541894,라사09258625,1009375,1986375,11499.399568992445
1326,강촌,경춘선,37.805723,127.634146,1011808.665986912,1978453.3936719857,라사09008600,1009125,1986125,8127.460044893302
1325,백양리,경춘선,37.830779,127.58933,1007860.9239030513,1981228.6075881713,라사05508375,1005625,1983875,3464.498303884833
1324,굴봉산,경춘선,37.832067,127.557695,1005076.9964587465,1981369.3191027006,라사04258275,1004375,1982875,1661.2868483753919
1323,가평,경춘선,37.814536,127.510739,1000945.2250800121,1979422.7632463423,라사00757925,1000875,1979375,84.92873226337062
1322,상천,경춘선,37.770246,127.454821,996021.0611803159,1974509.7760133436,다사96007450,996125,1974625,155.1768195908036
1321,청평,경춘선,37.735488,127.42661,993533.4786989451,1970655.039789472,다사93507050,993625,1970625,96.32516544650802
1320,대성리,경춘선,37.684071,127.379319,989359.2353356709,1964954.814476573,다사89256475,989375,1964875,81.35647062168607
1319,마석,경춘선,37.652782,127.311767,983396.0221714781,1961493.2416858324,다사83256125,983375,1961375,120.09591151300948
1318,천마산,경춘선,37.658978,127.285379,981069.9148976107,1962185.6606053936,다사81006200,981125,1962125,81.93947493094747
1317,평내호평,경춘선,37.653225,127.244493,977461.9274607021,1961556.428336916,다사77256150,977375,1961625,110.71791364645337
1316,금곡,경춘선,37.637382,127.207853,974224.460944498,1959808.150737673,다사74005975,974125,1959875,119.83865550849609
1315,사릉,경춘선,37.65108,127.176933,971501.678522888,1961336.8303418492,다사71506125,971625,1961375,129.09341393128426
1314,퇴계원,경춘선,37.648311,127.143952,968591.189869839,1961040.153134491,다사68506100,968625,1961125,91.33518209428192
1313,별내,경춘선,37.64202,127.12684,967078.8712872153,1960348.0595392613,다사67006025,967125,1960375,53.41953358080834
1312,갈매,경춘선,37.634118,127.114757,966009.274325316,1959475.6739383016,다사66005925,966125,1959375,153.38733205267084
1311,신내,경춘선,37.612887,127.103218,964981.2039814839,1957124.4294470246,다사64755700,964875,1957125,106.20551404582639
1286,운천,경의중앙선,37.879942,126.769999,935803.0835308242,1986930.5668770073,다사35758675,935875,1986875,90.8826515846547
1285,임진강,경의중앙선,37.888421,126.746765,933767.4317964667,1987887.570860733,다사33758775,933875,1987875,108.30025369753903
1284,문산,경의중앙선,37.854619,126.788047,937368.829298857,1984108.6732159476,다사37258400,937375,1984125,17.453980350922134
1283,파주,경의중앙선,37.815298,126.792783,937752.4322182245,1979742.799534945,다사37757950,937875,1979625,169.9987987093867
1282,월롱,경의중앙선,37.796188,126.792587,937719.1328179159,1977622.6654868294,다사37507750,937625,1977625,94.16176166856123
1280,금촌,경의중앙선,37.766217,126.774644,936113.6119740733,1974309.4831384188,다사36007425,936125,1974375,66.49922019063145
1279,금릉,경의중앙선,37.751322,126.765347,935281.7829658771,1972663.2754418573,다사35257250,935375,1972625,100.76916641533633
1278,운정,경의중앙선,37.725826,126.767257,935427.9006651454,1969833.1893476248,다사35256975,935375,1969875,67.42856238170796
1277,야당,경의중앙선,37.712327,126.761356,934896.0616968153,1968339.5732115326,다사34756825,934875,1968375,41.21471113397651
1276,탄현,경의중앙선,37.694023,126.761086,934856.2455130991,1966308.9537279701,다사34756625,934875,1966375,68.65741640899527
1275,일산,경의중앙선,37.682077,126.769846,935618.2242168369,1964977.5089059374,다사35506475,935625,1964875,102.73259966516348
1274,풍산,경의중앙선,37.672346,126.786243,937055.8381238962,1963886.7351299985,다사37006375,937125,1963875,70.15039830453885
1273,백마,경의중앙선,37.658239,126.794461,937768.7917533355,1962316.1068797277,다사37756225,937875,1962375,121.44377824720196
1272,곡산,경의중앙선,37.645676,126.801762,938402.3991048423,1960917.4519579532,다사38256075,938375,1960875,50.52602972942056
1271,능곡,경의중앙선,37.618808,126.820783,940058.8482913758,1957924.203821264,다사40005775,940125,1957875,82.44431199833883
1270,행신,경의중앙선,37.612102,126.834146,941232.8741565425,1957171.744943424,다사41005700,941125,1957125,117.56667633922817
1269,강매,경의중앙선,37.612314,126.843223,942034.1681851979,1957189.6219744645,다사42005700,942125,1957125,111.47384520119806
1268,화전,경의중앙선,37.602888,126.868387,944248.0809227466,1956128.6004065399,다사44005600,944125,1956125,123.13357166669945
1267,수색,경의중앙선,37.580842,126.895611,946635.40276412,1953666.869128572,다사46505350,946625,1953625,43.1421073745847
1266,디지털미디어시티,경의중앙선,37.577475,126.900453,947060.547816751,1953290.5754046421,다사47005325,947125,1953375,106.21485878589115
1265,가좌,경의중앙선,37.568491,126.915487,948381.8477564004,1952285.475603218,다사48255225,948375,1952375,89.78590862104798
1264,홍대입구,경의중앙선,37.557641,126.926683,949363.2281384574,1951075.6281943456,다사49255100,949375,1951125,50.75580673924202
1263,서강대,경의중앙선,37.551881,126.935711,950156.7738279519,1950431.7591609238,다사50005025,950125,1950375,65.0475094948719
1262,공덕,경의중앙선,37.542596,126.952099,951598.3218946919,1949393.0730866867,다사51504925,951625,1949375,32.22355916427252
1261,효창공원앞,경의중앙선,37.538579,126.96221,952488.987497885,1948942.2514014381,다사52254875,952375,1948875,132.34765078942797
